Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos
"Its ccrazy to think how the people that got bullied by Hitler, are now the bullies. At one point they were begging for peace and now they couldnt care less about it, the world is a shambles, #PrayForPalestine",,,0.2643432345260184,0.48992307524689216,0.24573369022708946
"#FreePalestineNow 
#PalestineUnderAttack
#PalestineGenocide 
#PalestineHolocaust 
#PrayForPalestine
A gift from Indonesia for our brothers and sisters, the guardians and defenders of the land of Syria, Palestine. 'With our souls, with our blood, we sacrifice for you, O Aqsa,,,,,,,,,,,,,,
Israel is a TERRORIST STATE ",,,0.2556855414402431,0.4956888125039864,0.24862564605577048
#IsraelisATerorristState ,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
#FreePalaestine ,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
#FreeGazaNow ,,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"#PrayForPalestine""",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Only to Him we seek
Only Him who guides

#blessed
#PrayForPalestine
#FreePalestine",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Words canât evenâ¦â¦â¦ 

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide
#PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiege #CeasefireForGazaNOW",,,0.21194155761708544,0.5761168847658291,0.21194155761708544
"Pakistan has not given Ukraine, which is at war with Russia, any weapons, and it has no intention of doing so.
#ukraine #palestine #PrayForPalestine #IsraeliCrimes #RussiaWar",,,0.30260544105721393,0.46891887647410363,0.22847568246868244
"Despite the prevalence of playing games, Palestinian children contend with dire circumstances and a constant battle for survival.

#Palestine #Gaza #PrayForPalestine #Pakistan",,,0.2887236317105925,0.4505503965895813,0.2607259716998263
"#AsslamuAllekum
#GoodMorningTwitterWorld 
Do you not know that the sovereignty of the earth and the heavens is for Allah alone, and besides Allah, there is no one else worthy of your devotion and help? #Quran 2/107 #FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide #Shams_T",,,0.25128807210565746,0.4587933903028482,0.2899185375914943
This video broke me tonight. We never know kan how our life could inspire/affect other people. Lagi2 kalau mmg kita pempengaruh. This is really really sad  #PrayForPalestine,,,0.2766850929761093,0.49813942664551775,0.225175480378373
Hope the other leaders also wake up. #PrayForPalestine,,,0.22891984619327044,0.46422619639023066,0.3068539574164988
The  is with Palestine. But some of our pretentious muslim brothers are acting weird #prayforPalestine,,,0.25099208225005865,0.5281716860436768,0.22083623170626446
"Alkhidmat Foundation's Woman's Wing bringing hope to the people of  Gaza, one blanket bring children's smile light up their darkest days.
601-5
#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.25233046000770804,0.4775837693275504,0.2700857706647415
Sending prayers and hope for peace to the people of Gaza and Palestine.  #PrayForGaza #PrayForPalestine,,,0.23013871535284697,0.4497456664657448,0.32011561818140816
